accession_id,target,length,charge,chargedensity,formulaC,formulaH,formulaN,formulaO,formulaS,tot,hydrogen,single,double,MW_modlamp,Gravy,Aromacity,IsoelectricPoint,Instability_index,SecStruct_helix,SecStruct_turn,SecStruct_sheet,Molar_extinction_coefficient_reduced,Molar_extinction_coefficient_oxidized,aliphatic_index,bomanindex,hydrophobic_ratio
XBA09021.1,1,92.0,1.064,0.00010237856977907783,465,726,118,143,3,1687,927,1538,149,10391.82,-0.2673913043478261,0.10869565217391304,7.761671257019044,17.88043478260869,0.33695652173913043,0.20652173913043476,0.4347826086956522,16960,17085,82.71739130434781,1.4710869565217382,0.358695652173913
XAV38393.1,1,131.0,5.203,0.00035329954477798423,655,1039,177,197,2,2388,1326,2186,202,14725.9,-0.3969465648854963,0.06870229007633588,9.644099617004393,36.34274809160304,0.3129770992366412,0.2977099236641222,0.36641221374045807,17990,17990,93.58778625954199,1.5979389312977108,0.35877862595419846
XAV38170.1,1,220.0,4.001,0.00016541732007403884,1055,1658,302,324,11,3882,2129,3536,346,24186.33,-0.31000000000000016,0.08181818181818182,8.972854804992679,32.33818181818181,0.31363636363636366,0.32272727272727275,0.3181818181818182,39420,39545,80.81818181818181,1.6776363636363616,0.38181818181818183
WWT34990.1,1,341.0,14.853,0.0003953964386368845,1647,2528,468,515,6,6007,3275,5451,556,37563.85,-0.6087976539589447,0.093841642228739,9.569832038879394,26.605278592375363,0.2697947214076246,0.31671554252199413,0.32844574780058655,56840,56965,70.11730205278593,1.8289736070381213,0.3225806451612903
WVX91681.1,1,169.0,7.2,0.0003548033724060547,917,1418,238,273,3,3231,1766,2934,297,20291.95,-0.8644970414201185,0.14201183431952663,9.271988105773925,23.445562130177507,0.3136094674556213,0.26627218934911245,0.39644970414201186,29340,29340,76.62721893491124,2.511005917159763,0.28994082840236685
WVP83504.1,1,238.0,-0.773,-2.92208319960928e-05,1183,1779,303,361,9,4217,2291,3823,394,26452.75,-0.3781512605042017,0.1218487394957983,6.2924402236938475,25.350420168067224,0.24369747899159666,0.3277310924369748,0.3781512605042016,51340,51340,72.05882352941177,1.3674369747899149,0.33613445378151263
XAQ48628.1,1,164.0,1.338,7.329611190968692e-05,807,1271,233,237,5,2939,1617,2678,261,18253.74,-0.2707317073170732,0.07926829268292683,7.904033470153809,36.21585365853658,0.3414634146341463,0.27439024390243905,0.33536585365853655,27960,27960,89.8170731707317,1.8209146341463414,0.39634146341463417
WYN05056.1,1,184.0,0.741,3.5947856687878006e-05,896,1406,244,289,9,3312,1816,3015,297,20612.21,-0.536413043478261,0.09239130434782608,7.559494972229005,30.174999999999983,0.3532608695652174,0.266304347826087,0.3423913043478261,29910,30160,74.18478260869566,1.9023369565217383,0.34782608695652173
YP_009625865.1,1,327.0,-4.2,-0.00011527519895264247,1629,2435,417,508,7,5788,3138,5240,548,36433.57,-0.4917431192660551,0.1162079510703364,5.915427207946778,16.212844036697238,0.2691131498470948,0.3302752293577982,0.3669724770642202,74830,74830,73.02752293577981,1.3800611620795096,0.3149847094801223
XAO53125.1,1,157.0,5.301,0.00031203828517273655,757,1203,205,229,3,2743,1527,2503,240,16987.32,-0.04331210191082799,0.089171974522293,9.424455833435058,15.768152866242037,0.38216560509554137,0.2484076433121019,0.375796178343949,12950,12950,90.70063694267516,1.2206369426751589,0.4267515923566879
XAO37661.1,1,151.0,4.496,0.0002660024493997788,746,1159,213,222,5,2733,1492,2485,248,16901.12,-0.4185430463576158,0.08609271523178808,9.030554008483886,36.73509933774833,0.2980132450331126,0.271523178807947,0.33774834437086093,26470,26595,78.74172185430463,1.8015231788079484,0.3576158940397351
XAO37046.1,1,273.0,14.298,0.0004624960294175681,1370,2086,408,387,10,4982,2690,4510,472,30913.88,-0.4205128205128207,0.11355311355311357,10.079648017883297,44.206227106227104,0.25641025641025644,0.28205128205128205,0.34798534798534797,77920,78295,71.83150183150184,1.9707692307692295,0.34798534798534797
